"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8924","Login via API and validate UI","chromium","2026-07-29","failed","2026-07-29","","ui/alltest.spec.js","",""
"","6279","place order test","chromium","2026-07-29","passed","2026-07-29","","ui/alltest.spec.js","",""
